Vehicle 1		Vehicle 2		Vehicle 3		Vehicle 4	
tau1 (s)	u1 (rad/s)	tau2 (s)	u2 (rad/s)	tau3 (s)	u3 (rad/s)	tau4 (s)	u4 (rad/s)
-1.119367225	1	-0.9420627631	1	-1.475057188	1	-1.437745265	1
-1.113254579	1	-0.9360646278	1	-1.470016086	1	-1.432789517	1
-1.10713755	1	-0.9300585423	1	-1.464984924	1	-1.427836436	1
-1.101016259	1	-0.9240441108	1	-1.459957287	1	-1.422889926	1
-1.094890657	1	-0.9180199325	1	-1.454926497	1	-1.417946068	1
-1.088760698	1	-0.9119945144	1	-1.44988586	1	-1.413000293	1
-1.082626335	1	-0.9059661769	1	-1.444829698	1	-1.408047913	1
-1.076487522	1	-0.8999364383	1	-1.439778733	1	-1.403094545	1
-1.070344215	1	-0.8939025049	1	-1.434732771	1	-1.398147846	1
-1.064196366	1	-0.8878614835	1	-1.429684253	1	-1.393203833	1
-1.058043938	1	-0.8818101371	1	-1.42462612	1	-1.388257881	1
-1.05188692	1	-0.8757538201	1	-1.41955326	1	-1.383305242	1
-1.04572526	1	-0.869689525	1	-1.414463151	1	-1.378347234	1
-1.039558907	1	-0.863613396	1	-1.409364172	1	-1.3733843	1
-1.033387808	1	-0.85752492	1	-1.404267435	1	-1.368414285	1
-1.027211908	1	-0.8514259732	1	-1.399165319	1	-1.363443245	1
-1.021031207	1	-0.845335848	1	-1.394053427	1	-1.358471507	1
-1.01484598	1	-0.8392500106	-1	-1.388931522	1	-1.353500493	1
-1.008656163	1	-0.8331609297	-1	-1.383793992	1	-1.348524796	-1
-1.002461711	1	-0.8270595316	1	-1.378665913	1	-1.343538117	1
-0.9962626139	1	-0.8209376352	-1	-1.373541672	1	-1.338534777	-1
-0.9900588123	1	-0.8147934421	-1	-1.368414115	1	-1.333517436	-1
-0.9838502466	1	-0.8086475984	1	-1.363276266	1	-1.328501757	1
-0.9776368582	1	-0.8024978065	-1	-1.3581439	1	-1.323485459	-1
-0.9714187127	1	-0.7963416776	1	-1.353016174	1	-1.31847558	1
-0.9651962996	1	-0.7901787313	-1	-1.34788533	1	-1.313467844	-1
-0.9589702859	1	-0.7840117766	-1	-1.34274419	1	-1.308457325	1
-0.9527407243	1	-0.7778388778	1	-1.337587167	1	-1.303438977	1
-0.9465072737	1	-0.771657942	-1	-1.332415614	1	-1.298425416	-1
-0.9402695721	1	-0.7654669102	-1	-1.327246561	1	-1.293415501	1
-0.9340272597	1	-0.7592744387	1	-1.322072634	1	-1.288404194	-1
-0.9277800193	1	-0.7530809629	-1	-1.316888078	1	-1.283386291	1
-0.9215275481	1	-0.7468852865	-1	-1.311689372	1	-1.278357113	-1
-0.9152699209	1	-0.7406859238	1	-1.306474936	1	-1.273321584	-1
-0.9090079865	-1	-0.7344806812	-1	-1.301244153	1	-1.268286361	1
-0.9027415304	1	-0.7282661679	-1	-1.296004625	1	-1.26324708	-1
-0.8964703159	-1	-0.7220381749	1	-1.290757238	1	-1.258204225	10Ish
-0.8901940781	1	-0.7158025401	-1	-1.285502324	1	-1.253157555	1
-0.8839125315	-1	-0.7095521126	-1	-1.280250008	1	-1.248100841	-1
-0.8776260693	1	-0.7032865786	1	-1.275006274	1	-1.243028326	1
-0.8713346932	-1	-0.6970155899	-1	-1.269763141	-1	-1.237947033	-1
-0.8650383319	1	-0.6907392971	-1	-1.26451323	1	-1.232865668	1
-0.8587370084	-1	-0.6844582782	1	-1.259249999	-1	-1.227778195	-1
-0.8524306558	-1	-0.6781724744	-1	-1.253986336	1	-1.222686392	-1
-0.8461194193	1	-0.6718817575	-1	-1.248720151	1	-1.217596201	1
-0.8398031814	-1	-0.6655859836	-1	-1.243444906	-1	-1.212502192	1
-0.8334818353	1	-0.6592853567	-1	-1.238155921	1	-1.207404003	-1
-0.8271552878	-1	-0.652979632	1	-1.23285072	-1	-1.202311995	1
-0.8208235594	1	-0.6466685155	-1	-1.227536904	1	-1.197221292	-1
-0.8144879751	-1	-0.6403516604	-1	-1.222216832	1	-1.192126498	1
-0.8081478577	1	-0.6340298625	-1	-1.216886788	-1	-1.187022346	-1
-0.8018008508	-1	-0.6277021971	1	-1.211544802	-1	-1.181911152	1
-0.7954491127	1	-0.6213691562	-1	-1.206189836	1	-1.176801351	-1
